Area (km2);Width (km);Attached/Fan-type;Fans;Plot-types;Equation;;;;
11.45;3.39;1;;;;;;;
7.10;1.36;1;;;;;;;
4.62;1.50;1;;;;;;;
16.71;3.33;1;;;;;;;
24.35;4.69;1;;;;;;;
10.08;3.71;1;;;;;;;
14.03;2.84;1;;;;;;;
7.78;3.03;1;;;;;;;
6.56;2.10;1;;;;;;;
15.70;2.45;1;;;;;;;
10.50;2.43;1;;;;;;;
10.94;2.21;1;;;;;;;
9.19;2.24;1;;;;;;;
5.25;2.20;1;;;;;;;
11.66;1.73;1;;;;;;;
10.86;1.79;1;;;;;;;
35.12;4.51;1;;;;;;;
23.41;3.53;1;;;;;;;
18.62;3.20;1;;;;;;;
17.60;3.04;1;;;;;;;
10.82;2.06;1;;;;;;;
2.92;1.38;1;;;;;;;
1.98;1.14;1;;;;;;;
8.88;2.61;1;;;;;;;
15.97;4.04;1;;;;;;;
8.95;2.67;1;;;;;;;
21.24;8.20;1;;;;;;;
7.62;1.61;1;;;;;;;
3.22;1.18;1;;;;;;;
14.73;3.68;1;;;;;;;
7.46;1.52;1;;;;;;;
5.39;3.31;1;;;;;;;
3.59;2.07;1;;;;;;;
3.92;1.44;1;;;;;;;
93.94;6.51;1;;;;;;;
11.38;2.00;1;;;;;;;
37.22;3.78;1;;;;;;;
17.50;2.10;1;;;;;;;
86.10;9.35;1;;;;;;;
64.50;10.33;1;;;;;;;
156.57;11.78;1;;;;;;;
54.19;8.44;1;;;;;;;
60.89;7.07;1;;;;;;;
56.62;9.15;1;;;;;;;
36.44;9.30;1;;;;;;;
22.51;6.95;1;;;;;;;
38.67;5.09;1;;;;;;;
13.74;3.16;1;;;;;;;
35.94;7.09;1;;;;;;;
31.17;7.02;1;;;;;;;
16.02;6.43;1;;;;;;;
107.91;13.98;1;;;;;;;
23.94;3.14;1;;;;;;;
6.58;1.92;1;;;;;;;
28.30;6.20;1;;;;;;;
22.04;8.20;1;;;;;;;
35.16;6.31;1;;;;;;;
25.09;4.63;1;;;;;;;
15.77;3.68;1;;;;;;;
155.22;14.09;1;;;;;;;
107.17;11.66;1;;;;;;;
101.88;11.66;1;;;;;;;
262.19;19.15;1;;;;;;;
212.21;20.04;1;;;;;;;
102.83;17.66;1;;;;;;;
182.85;14.85;1;;;;;;;
138.36;13.88;1;;;;;;;
108.47;12.83;1;;;;;;;
37.21;6.31;1;;;;;;;
4.96;2.15;1;;;;;;;
3.31;1.66;1;;;;;;;
2.47;1.37;1;;;;;;;
15.89;5.22;1;;;;;;;
581.12;40.50;1;;;;;;;
573.86;30.38;1;;;;;;;
40.41;5.65;1;;;;;;;
34.80;4.99;1;;;;;;;
38.43;6.32;1;;;;;;;
74.91;7.52;1;;;;;;;
68.95;7.61;1;;;;;;;
50.33;7.21;1;;;;;;;
50.31;7.03;1;;;;;;;
43.37;7.28;1;;;;;;;
10.28;3.04;1;;;;;;;
19.59;5.35;1;;;;;;;
6.18;2.51;1;;;;;;;
9.48;2.04;1;;;;;;;
9.72;2.34;1;;;;;;;
35.38;6.16;1;;;;;;;
6.39;1.63;1;;;;;;;
5.87;1.63;1;;;;;;;
6.54;1.49;1;;;;;;;
6.42;1.69;1;;;;;;;
1.63;1.39;1;;;;;;;
3.56;1.98;1;;;;;;;
11.75;2.29;1;;;;;;;
72.39;6.79;1;;;;;;;
36.27;5.33;1;;;;;;;
5.24;2.54;1;;;;;;;
17.16;4.59;1;;;;;;;
11.23;2.36;1;;;;;;;
18.54;4.75;1;;;;;;;
19.59;3.19;1;;;;;;;
5.20;2.61;1;;;;;;;
18.50;3.56;1;;;;;;;
16.70;4.16;1;;;;;;;
11.91;3.87;1;;;;;;;
6.73;2.81;1;;;;;;;
21.05;3.75;1;;;;;;;
4.22;4.73;1;;;;;;;
74.69;6.10;1;;;;;;;
50.83;4.85;1;;;;;;;
33.24;5.06;1;;;;;;;
71.28;7.63;1;;;;;;;
44.49;6.35;1;;;;;;;
490.32;22.95;1;;;;;;;
157.99;10.13;1;;;;;;;
86.71;7.43;1;;;;;;;
243.80;13.50;1;;;;;;;
263.32;14.18;1;;;;;;;
202.48;13.50;1;;;;;;;
370000;600.00;0;;;;;;;
37000;232.00;0;;;;;;;
32000;130.00;0;;;;;;;
421000;475.00;0;;;;;;;
2900000;1430.00;0;;;;;;;
427;18.90;0;;;;;;;
3000;50.00;0;;;;;;;
1600;41.00;0;;;;;;;
14900;120.00;0;;;;;;;
592;18.00;0;;;;;;;
285;22.80;0;;;;;;;
29000;196.00;0;;;;;;;
8800;100.00;0;;;;;;;
92;6.00;0;;;;;;;
1797;29.00;0;;;;;;;
2278;55.00;0;;;;;;;
330;19.00;0;;;;;;;
1000;26.00;0;;;;;;;
545;22.00;0;;;;;;;
25000;150.00;0;;;;;;;
50000;280.00;0;;;;;;;
134;14.00;0;;;;;;;
5000;60.00;0;;;;;;;
82;12.40;0;;;;;;;
500;20.00;0;;;;;;;
599;34.43;0;;;;;;;
2900;58.00;0;;;;;;;
#REF!;16.88;0;;;;;;;
385;20.93;0;;;;;;;
425;39.00;0;;;;;;;
1600;28.00;0;;;;;;;
1100000;960.00;0;;;;;;;
140;10.00;0;;;;;;;
630;20.00;0;;;;;;;
111000;260.00;0;;;;;;;
;;0;;;;;;;
75000;360.00;0;;;;;;;
10500;130.00;0;;;;;;;
20600;240.00;0;;;;;;;
1571;40.50;0;;;;;;;
300000;570.00;0;;;;;;;
110000;450.00;0;;;;;;;
780000;660.00;0;;;;;;;
560;30.00;0;;;;;;;
350;14.00;0;;;;;;;
1000000;550.00;0;;;;;;;
125000;685.00;0;;;;;;;
26000;210.00;0;;;;;;;
660;20.00;0;;;;;;;
30000;60.00;0;;;;;;;
2250;40.00;0;;;;;;;
360;28.00;0;;;;;;;
450;10.00;0;;;;;;;
40000;200.00;0;;;;;;;
386;26.00;0;;;;;;;
101;8.90;0;;;;;;;
120000;200.00;0;;;;;;;
383000;973.00;0;;;;;;;
610;25.00;0;;;;;;;
2000;17.00;0;;;;;;;
8600;70.00;0;;;;;;;
2200;38.00;0;;;;;;;
170000;320.00;0;;;;;;;
300000;550.00;0;;;;;;;
139975;286.56;0;;;;;;;
1140000;1330.00;0;;;;;;;
;0.36;1;;;;;;;
;0.36;1;;;;;;;
;0.47;1;;;;;;;
;0.36;1;;;;;;;
;0.31;1;;;;;;;
;0.30;1;;;;;;;
;0.38;1;;;;;;;
;0.53;1;;;;;;;
;0.17;1;;;;;;;
;0.25;1;;;;;;;
;0.28;1;;;;;;;
;0.27;1;;;;;;;
;0.35;1;;;;;;;
;0.38;1;;;;;;;
;0.32;1;;;;;;;
;0.34;1;;;;;;;
;0.24;1;;;;;;;
;0.25;1;;;;;;;
;0.27;1;;;;;;;
;0.22;1;;;;;;;
;0.32;1;;;;;;;
;0.16;1;;;;;;;
;0.17;1;;;;;;;
;0.22;1;;;;;;;
;0.17;1;;;;;;;
;0.15;1;;;;;;;
;0.27;1;;;;;;;
;0.32;1;;;;;;;
;0.22;1;;;;;;;
;0.29;1;;;;;;;
;0.31;1;;;;;;;
;0.22;1;;;;;;;
;0.13;1;;;;;;;
;0.14;1;;;;;;;
;0.09;1;;;;;;;
;0.13;1;;;;;;;
;0.08;1;;;;;;;
;0.11;1;;;;;;;
;0.12;1;;;;;;;
;0.13;1;;;;;;;
;0.33;1;;;;;;;
;0.20;1;;;;;;;
;0.24;1;;;;;;;
;0.37;1;;;;;;;
;0.33;1;;;;;;;
;0.11;1;;;;;;;
;0.37;1;;;;;;;
;0.18;1;;;;;;;
;0.17;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.25;1;;;;;;;
;0.05;1;;;;;;;
;0.17;1;;;;;;;
;0.23;1;;;;;;;
;0.23;1;;;;;;;
;0.22;1;;;;;;;
;0.24;1;;;;;;;
;0.23;1;;;;;;;
;0.23;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.25;1;;;;;;;
;0.25;1;;;;;;;
;0.25;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.22;1;;;;;;;
;0.16;1;;;;;;;
;0.18;1;;;;;;;
;0.27;1;;;;;;;
;0.26;1;;;;;;;
;0.24;1;;;;;;;
;0.32;1;;;;;;;
;0.16;1;;;;;;;
;0.18;1;;;;;;;
;0.28;1;;;;;;;
;0.26;1;;;;;;;
;0.24;1;;;;;;;
;0.23;1;;;;;;;
;0.20;1;;;;;;;
;0.26;1;;;;;;;
;0.26;1;;;;;;;
;0.47;1;;;;;;;
;0.36;1;;;;;;;
;0.36;1;;;;;;;
;0.24;1;;;;;;;
;0.30;1;;;;;;;
;0.35;1;;;;;;;
;0.40;1;;;;;;;
;0.36;1;;;;;;;
;0.33;1;;;;;;;
;0.48;1;;;;;;;
;0.37;1;;;;;;;
;0.32;1;;;;;;;
;0.37;1;;;;;;;
;0.27;1;;;;;;;
;0.46;1;;;;;;;
;0.53;1;;;;;;;
;0.41;1;;;;;;;
;0.55;1;;;;;;;
;0.39;1;;;;;;;
;0.50;1;;;;;;;
;0.26;1;;;;;;;
;0.32;1;;;;;;;
;0.40;1;;;;;;;
;0.43;1;;;;;;;
;0.33;1;;;;;;;
;0.44;1;;;;;;;
;0.46;1;;;;;;;
;0.39;1;;;;;;;
;0.44;1;;;;;;;
;0.32;1;;;;;;;
;0.36;1;;;;;;;
;0.14;1;;;;;;;
;0.18;1;;;;;;;
;0.04;1;;;;;;;
;0.16;1;;;;;;;
;0.06;1;;;;;;;
;0.13;1;;;;;;;
;0.12;1;;;;;;;
;0.06;1;;;;;;;
;0.05;1;;;;;;;
;0.09;1;;;;;;;
;0.14;1;;;;;;;
;0.29;1;;;;;;;
;0.09;1;;;;;;;
;0.23;1;;;;;;;
;0.08;1;;;;;;;
;0.30;1;;;;;;;
;0.16;1;;;;;;;
;0.24;1;;;;;;;
;0.13;1;;;;;;;
;0.48;1;;;;;;;
;0.13;1;;;;;;;
;0.31;1;;;;;;;
;0.16;1;;;;;;;
;0.17;1;;;;;;;
;0.29;1;;;;;;;
;0.19;1;;;;;;;
;0.28;1;;;;;;;
;0.25;1;;;;;;;
;0.53;1;;;;;;;
;0.41;1;;;;;;;
;0.42;1;;;;;;;
;0.15;1;;;;;;;
;0.26;1;;;;;;;
;0.27;1;;;;;;;
;0.20;1;;;;;;;
;0.07;1;;;;;;;
;0.32;1;;;;;;;
;0.15;1;;;;;;;
;0.22;1;;;;;;;
;0.27;1;;;;;;;
;0.25;1;;;;;;;
;0.27;1;;;;;;;
;0.32;1;;;;;;;
;0.17;1;;;;;;;
;0.12;1;;;;;;;
;0.20;1;;;;;;;
;0.24;1;;;;;;;
;0.17;1;;;;;;;
;0.15;1;;;;;;;
;0.26;1;;;;;;;
;0.27;1;;;;;;;
;0.13;1;;;;;;;
;0.14;1;;;;;;;
;0.06;1;;;;;;;
;0.15;1;;;;;;;
;0.15;1;;;;;;;
;0.11;1;;;;;;;
;0.28;1;;;;;;;
;0.10;1;;;;;;;
;0.12;1;;;;;;;
;0.13;1;;;;;;;
;0.26;1;;;;;;;
;0.20;1;;;;;;;
;0.14;1;;;;;;;
;0.09;1;;;;;;;
;0.27;1;;;;;;;
;0.54;1;;;;;;;
;0.36;1;;;;;;;
;0.22;1;;;;;;;
;0.12;1;;;;;;;
;0.16;1;;;;;;;
;0.11;1;;;;;;;
;0.64;1;;;;;;;
;0.33;1;;;;;;;
;0.04;1;;;;;;;
;0.49;1;;;;;;;
;0.18;1;;;;;;;
;0.13;1;;;;;;;
;0.70;1;;;;;;;
;0.20;1;;;;;;;
;0.14;1;;;;;;;
;0.31;1;;;;;;;
;0.68;1;;;;;;;
;0.38;1;;;;;;;
;0.65;1;;;;;;;
;0.76;1;;;;;;;
;0.46;1;;;;;;;
;0.21;1;;;;;;;
;0.31;1;;;;;;;
;0.61;1;;;;;;;
;0.40;1;;;;;;;
;0.10;1;;;;;;;
;0.25;1;;;;;;;
;0.25;1;;;;;;;
;0.42;1;;;;;;;
;0.33;1;;;;;;;
;0.31;1;;;;;;;
;0.46;1;;;;;;;
;0.18;1;;;;;;;
;0.39;1;;;;;;;
;1.10;1;;;;;;;
;0.23;1;;;;;;;
;0.65;1;;;;;;;
;0.39;1;;;;;;;
;0.19;1;;;;;;;
;0.30;1;;;;;;;
;0.61;1;;;;;;;
;0.27;1;;;;;;;
;0.14;1;;;;;;;
;0.29;1;;;;;;;
;0.39;1;;;;;;;
;0.46;1;;;;;;;
;0.23;1;;;;;;;
;1.10;1;;;;;;;
;0.71;1;;;;;;;
;0.65;1;;;;;;;
;0.28;1;;;;;;;
;0.25;1;;;;;;;
;0.13;1;;;;;;;
;0.10;1;;;;;;;
;0.35;1;;;;;;;
;0.15;1;;;;;;;
;0.35;1;;;;;;;
;0.46;1;;;;;;;
;0.27;1;;;;;;;
;0.90;1;;;;;;;
;0.50;1;;;;;;;
;0.05;1;;;;;;;
;0.85;1;;;;;;;
;0.67;1;;;;;;;
;0.63;1;;;;;;;
;0.28;1;;;;;;;
;0.13;1;;;;;;;
;0.78;1;;;;;;;
;0.63;1;;;;;;;
;0.22;1;;;;;;;
;0.27;1;;;;;;;
;0.67;1;;;;;;;
;0.46;1;;;;;;;
;0.15;1;;;;;;;
;0.39;1;;;;;;;
;0.85;1;;;;;;;
;0.53;1;;;;;;;
;0.06;1;;;;;;;
;0.07;1;;;;;;;
;0.14;1;;;;;;;
;0.27;1;;;;;;;
;0.18;1;;;;;;;
;0.19;1;;;;;;;
;0.17;1;;;;;;;
;0.15;1;;;;;;;
;0.41;1;;;;;;;
;0.37;1;;;;;;;
;0.54;1;;;;;;;
;0.05;1;;;;;;;
;0.04;1;;;;;;;
;0.13;1;;;;;;;
;0.17;1;;;;;;;
;0.07;1;;;;;;;
;0.11;1;;;;;;;
;0.25;1;;;;;;;
;0.23;1;;;;;;;
;0.49;1;;;;;;;
;0.55;1;;;;;;;
;0.63;1;;;;;;;
;0.47;1;;;;;;;
;0.12;1;;;;;;;
;0.08;1;;;;;;;
;0.11;1;;;;;;;
;0.18;1;;;;;;;
;0.10;1;;;;;;;
;0.10;1;;;;;;;
;0.09;1;;;;;;;
;0.24;1;;;;;;;
;0.07;1;;;;;;;
;0.20;1;;;;;;;
;0.08;1;;;;;;;
;0.36;1;;;;;;;
;0.14;1;;;;;;;
