Length (km);Width (km);Attached;Fan;Architectural element;Equation;;;;
15.74;3.78;1;;;;;;;
14.59;2.10;1;;;;;;;
18.36;9.35;1;;;;;;;
12.76;10.33;1;;;;;;;
21.96;11.78;1;;;;;;;
15.29;8.44;1;;;;;;;
11.74;7.07;1;;;;;;;
21.01;9.15;1;;;;;;;
13.83;9.30;1;;;;;;;
10.41;6.95;1;;;;;;;
13.12;5.09;1;;;;;;;
9.48;3.16;1;;;;;;;
12.53;7.09;1;;;;;;;
16.15;7.02;1;;;;;;;
9.69;6.43;1;;;;;;;
15.35;13.98;1;;;;;;;
13.02;3.14;1;;;;;;;
8.06;1.92;1;;;;;;;
11.38;6.20;1;;;;;;;
11.88;8.20;1;;;;;;;
14.88;6.31;1;;;;;;;
10.46;4.63;1;;;;;;;
10.44;3.68;1;;;;;;;
26.10;14.09;1;;;;;;;
25.45;11.66;1;;;;;;;
19.03;11.66;1;;;;;;;
21.93;19.15;1;;;;;;;
20.71;20.04;1;;;;;;;
14.68;17.66;1;;;;;;;
15.77;14.85;1;;;;;;;
17.98;13.88;1;;;;;;;
16.09;12.83;1;;;;;;;
13.70;6.31;1;;;;;;;
3.36;2.15;1;;;;;;;
2.92;1.66;1;;;;;;;
2.59;1.37;1;;;;;;;
4.69;5.22;1;;;;;;;
41.85;40.50;1;;;;;;;
37.13;30.38;1;;;;;;;
9.79;5.65;1;;;;;;;
11.52;4.99;1;;;;;;;
9.14;6.32;1;;;;;;;
15.09;7.52;1;;;;;;;
18.87;7.61;1;;;;;;;
22.46;7.21;1;;;;;;;
9.91;7.03;1;;;;;;;
8.90;7.28;1;;;;;;;
4.35;3.04;1;;;;;;;
6.39;5.35;1;;;;;;;
3.25;2.51;1;;;;;;;
5.85;2.04;1;;;;;;;
4.70;2.34;1;;;;;;;
7.13;6.16;1;;;;;;;
4.73;1.63;1;;;;;;;
4.30;1.63;1;;;;;;;
5.16;1.49;1;;;;;;;
4.70;1.69;1;;;;;;;
1.61;1.39;1;;;;;;;
2.40;1.98;1;;;;;;;
7.89;2.29;1;;;;;;;
14.08;6.79;1;;;;;;;
9.86;5.33;1;;;;;;;
3.08;2.54;1;;;;;;;
5.30;4.59;1;;;;;;;
6.78;2.36;1;;;;;;;
5.87;4.75;1;;;;;;;
8.63;3.19;1;;;;;;;
2.92;2.61;1;;;;;;;
7.05;3.56;1;;;;;;;
6.01;4.16;1;;;;;;;
4.43;3.87;1;;;;;;;
3.41;2.81;1;;;;;;;
7.82;3.75;1;;;;;;;
1.15;4.73;1;;;;;;;
14.57;6.10;1;;;;;;;
12.12;4.85;1;;;;;;;
11.93;5.06;1;;;;;;;
15.53;7.63;1;;;;;;;
11.61;6.35;1;;;;;;;
28.35;22.95;1;;;;;;;
22.95;10.13;1;;;;;;;
16.88;7.43;1;;;;;;;
24.30;13.50;1;;;;;;;
24.30;14.18;1;;;;;;;
23.63;13.50;1;;;;;;;
700.00;600.00;0;;;;;;;
200.00;232.00;0;;;;;;;
250.00;130.00;0;;;;;;;
990.00;475.00;0;;;;;;;
3000.00;1430.00;0;;;;;;;
35.10;18.90;0;;;;;;;
80.00;50.00;0;;;;;;;
42.00;41.00;0;;;;;;;
250.00;120.00;0;;;;;;;
45.00;18.00;0;;;;;;;
20.20;22.80;0;;;;;;;
216.00;196.00;0;;;;;;;
230.00;100.00;0;;;;;;;
18.00;6.00;0;;;;;;;
87.00;29.00;0;;;;;;;
66.00;55.00;0;;;;;;;
25.00;19.00;0;;;;;;;
56.00;26.00;0;;;;;;;
38.00;22.00;0;;;;;;;
215.00;150.00;0;;;;;;;
350.00;280.00;0;;;;;;;
15.00;14.00;0;;;;;;;
50.00;60.00;0;;;;;;;
9.60;12.40;0;;;;;;;
27.00;20.00;0;;;;;;;
45.23;34.43;0;;;;;;;
50.00;58.00;0;;;;;;;
16.88;16.88;0;;;;;;;
32.40;20.93;0;;;;;;;
18.00;39.00;0;;;;;;;
70.00;28.00;0;;;;;;;
1500.00;960.00;0;;;;;;;
20.00;10.00;0;;;;;;;
42.00;20.00;0;;;;;;;
600.00;260.00;0;;;;;;;
30.00;;0;;;;;;;
245.00;360.00;0;;;;;;;
73.00;130.00;0;;;;;;;
105.00;240.00;0;;;;;;;
77.63;40.50;0;;;;;;;
540.00;570.00;0;;;;;;;
450.00;450.00;0;;;;;;;
1800.00;660.00;0;;;;;;;
40.00;30.00;0;;;;;;;
30.00;14.00;0;;;;;;;
550.00;550.00;0;;;;;;;
290.00;685.00;0;;;;;;;
150.00;210.00;0;;;;;;;
45.00;20.00;0;;;;;;;
180.00;60.00;0;;;;;;;
95.00;40.00;0;;;;;;;
23.00;28.00;0;;;;;;;
15.00;10.00;0;;;;;;;
300.00;200.00;0;;;;;;;
20.00;26.00;0;;;;;;;
15.50;8.90;0;;;;;;;
770.00;200.00;0;;;;;;;
714.00;973.00;0;;;;;;;
30.00;25.00;0;;;;;;;
30.00;17.00;0;;;;;;;
200.00;70.00;0;;;;;;;
92.00;38.00;0;;;;;;;
640.00;320.00;0;;;;;;;
800.00;550.00;0;;;;;;;
670.67;286.56;0;;;;;;;
1270.00;1330.00;0;;;;;;;
;0.36;1;;;;;;;
;0.36;1;;;;;;;
;0.47;1;;;;;;;
;0.36;1;;;;;;;
;0.31;1;;;;;;;
;0.30;1;;;;;;;
;0.38;1;;;;;;;
;0.53;1;;;;;;;
;0.17;1;;;;;;;
;0.25;1;;;;;;;
;0.28;1;;;;;;;
;0.27;1;;;;;;;
;0.35;1;;;;;;;
;0.38;1;;;;;;;
;0.32;1;;;;;;;
;0.34;1;;;;;;;
;0.24;1;;;;;;;
;0.25;1;;;;;;;
;0.27;1;;;;;;;
;0.22;1;;;;;;;
;0.32;1;;;;;;;
;0.16;1;;;;;;;
;0.17;1;;;;;;;
;0.22;1;;;;;;;
;0.17;1;;;;;;;
;0.15;1;;;;;;;
;0.27;1;;;;;;;
;0.32;1;;;;;;;
;0.22;1;;;;;;;
;0.29;1;;;;;;;
;0.31;1;;;;;;;
;0.22;1;;;;;;;
;0.13;1;;;;;;;
;0.14;1;;;;;;;
;0.09;1;;;;;;;
;0.13;1;;;;;;;
;0.08;1;;;;;;;
;0.11;1;;;;;;;
;0.12;1;;;;;;;
;0.13;1;;;;;;;
;0.33;1;;;;;;;
;0.20;1;;;;;;;
;0.24;1;;;;;;;
;0.37;1;;;;;;;
;0.33;1;;;;;;;
;0.11;1;;;;;;;
;0.37;1;;;;;;;
;0.18;1;;;;;;;
;0.17;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.25;1;;;;;;;
;0.05;1;;;;;;;
;0.17;1;;;;;;;
;0.23;1;;;;;;;
;0.23;1;;;;;;;
;0.22;1;;;;;;;
;0.24;1;;;;;;;
;0.23;1;;;;;;;
;0.23;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.25;1;;;;;;;
;0.25;1;;;;;;;
;0.25;1;;;;;;;
;0.24;1;;;;;;;
;0.24;1;;;;;;;
;0.22;1;;;;;;;
;0.16;1;;;;;;;
;0.18;1;;;;;;;
;0.27;1;;;;;;;
;0.26;1;;;;;;;
;0.24;1;;;;;;;
;0.32;1;;;;;;;
;0.16;1;;;;;;;
;0.18;1;;;;;;;
;0.28;1;;;;;;;
;0.26;1;;;;;;;
;0.24;1;;;;;;;
;0.23;1;;;;;;;
;0.20;1;;;;;;;
;0.26;1;;;;;;;
;0.26;1;;;;;;;
;0.47;1;;;;;;;
;0.36;1;;;;;;;
;0.36;1;;;;;;;
;0.24;1;;;;;;;
;0.30;1;;;;;;;
;0.35;1;;;;;;;
;0.40;1;;;;;;;
;0.36;1;;;;;;;
;0.33;1;;;;;;;
;0.48;1;;;;;;;
;0.37;1;;;;;;;
;0.32;1;;;;;;;
;0.37;1;;;;;;;
;0.27;1;;;;;;;
;0.46;1;;;;;;;
;0.53;1;;;;;;;
;0.41;1;;;;;;;
;0.55;1;;;;;;;
;0.39;1;;;;;;;
;0.50;1;;;;;;;
;0.26;1;;;;;;;
;0.32;1;;;;;;;
;0.40;1;;;;;;;
;0.43;1;;;;;;;
;0.33;1;;;;;;;
;0.44;1;;;;;;;
;0.46;1;;;;;;;
;0.39;1;;;;;;;
;0.44;1;;;;;;;
;0.32;1;;;;;;;
;0.36;1;;;;;;;
;0.14;1;;;;;;;
;0.18;1;;;;;;;
;0.04;1;;;;;;;
;0.16;1;;;;;;;
;0.06;1;;;;;;;
;0.13;1;;;;;;;
;0.12;1;;;;;;;
;0.06;1;;;;;;;
;0.05;1;;;;;;;
;0.09;1;;;;;;;
;0.14;1;;;;;;;
;0.29;1;;;;;;;
;0.09;1;;;;;;;
;0.23;1;;;;;;;
;0.08;1;;;;;;;
;0.30;1;;;;;;;
;0.16;1;;;;;;;
;0.24;1;;;;;;;
;0.13;1;;;;;;;
;0.48;1;;;;;;;
;0.13;1;;;;;;;
;0.31;1;;;;;;;
;0.16;1;;;;;;;
;0.17;1;;;;;;;
;0.29;1;;;;;;;
;0.19;1;;;;;;;
;0.28;1;;;;;;;
;0.25;1;;;;;;;
;0.53;1;;;;;;;
;0.41;1;;;;;;;
;0.42;1;;;;;;;
;0.15;1;;;;;;;
;0.26;1;;;;;;;
;0.27;1;;;;;;;
;0.20;1;;;;;;;
;0.07;1;;;;;;;
;0.32;1;;;;;;;
;0.15;1;;;;;;;
;0.22;1;;;;;;;
;0.27;1;;;;;;;
;0.25;1;;;;;;;
;0.27;1;;;;;;;
;0.32;1;;;;;;;
;0.17;1;;;;;;;
;0.12;1;;;;;;;
;0.20;1;;;;;;;
;0.24;1;;;;;;;
;0.17;1;;;;;;;
;0.15;1;;;;;;;
;0.26;1;;;;;;;
;0.27;1;;;;;;;
;0.13;1;;;;;;;
;0.14;1;;;;;;;
;0.06;1;;;;;;;
;0.15;1;;;;;;;
;0.15;1;;;;;;;
;0.11;1;;;;;;;
;0.28;1;;;;;;;
