Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
12.40;;0;;;;;;;
20.00;;0;;;;;;;
34.43;130;0;;;;;;;
58.00;250;0;;;;;;;
16.88;;0;;;;;;;
20.93;40;0;;;;;;;
39.00;;0;;;;;;;
28.00;;0;;;;;;;
960.00;3000;0;;;;;;;
10.00;85;0;;;;;;;
20.00;;0;;;;;;;
260.00;;0;;;;;;;
;300;0;;;;;;;
360.00;;0;;;;;;;
130.00;;0;;;;;;;
240.00;;0;;;;;;;
40.50;10;0;;;;;;;
570.00;4000;0;;;;;;;
450.00;;0;;;;;;;
660.00;;0;;;;;;;
30.00;900;0;;;;;;;
14.00;;0;;;;;;;
550.00;;0;;;;;;;
685.00;3000;0;;;;;;;
210.00;1000;0;;;;;;;
20.00;;0;;;;;;;
60.00;;0;;;;;;;
40.00;115;0;;;;;;;
28.00;160;0;;;;;;;
10.00;;0;;;;;;;
200.00;3600;0;;;;;;;
26.00;;0;;;;;;;
8.90;;0;;;;;;;
200.00;450;0;;;;;;;
973.00;;0;;;;;;;
25.00;;0;;;;;;;
17.00;;0;;;;;;;
70.00;;0;;;;;;;
38.00;;0;;;;;;;
320.00;;0;;;;;;;
550.00;600;0;;;;;;;
286.56;290;0;;;;;;;
1330.00;1600;1;;;;;;;
0.36;1.90;1;;;;;;;
0.36;2.00;1;;;;;;;
0.47;3.00;1;;;;;;;
0.36;2.00;1;;;;;;;
0.31;3.00;1;;;;;;;
0.30;3.00;1;;;;;;;
0.38;3.00;1;;;;;;;
0.53;3.00;1;;;;;;;
0.17;1.00;1;;;;;;;
0.25;2.00;1;;;;;;;
0.28;1.00;1;;;;;;;
0.27;2.00;1;;;;;;;
0.35;3.00;1;;;;;;;
0.38;3.00;1;;;;;;;
0.32;2.00;1;;;;;;;
0.34;2.00;1;;;;;;;
0.24;1.00;1;;;;;;;
0.25;1.00;1;;;;;;;
0.27;2.00;1;;;;;;;
0.22;3.00;1;;;;;;;
0.32;2.00;1;;;;;;;
0.16;2.00;1;;;;;;;
0.17;2.00;1;;;;;;;
0.22;2.00;1;;;;;;;
0.17;2.00;1;;;;;;;
0.15;2.00;1;;;;;;;
0.27;3.00;1;;;;;;;
0.32;3.00;1;;;;;;;
0.22;2.00;1;;;;;;;
0.29;1.00;1;;;;;;;
0.31;3.00;1;;;;;;;
0.22;3.00;1;;;;;;;
0.13;1.00;1;;;;;;;
0.14;3.00;1;;;;;;;
0.09;2.00;1;;;;;;;
0.13;3.00;1;;;;;;;
0.08;2.00;1;;;;;;;
0.11;3.00;1;;;;;;;
0.12;3.00;1;;;;;;;
0.13;3.00;1;;;;;;;
0.33;5.00;1;;;;;;;
0.20;1.00;1;;;;;;;
0.24;4.00;1;;;;;;;
0.37;3.00;1;;;;;;;
0.33;2.00;1;;;;;;;
0.11;4.00;1;;;;;;;
0.37;4.00;1;;;;;;;
0.18;3.00;1;;;;;;;
0.17;3.00;1;;;;;;;
0.05;2.00;1;;;;;;;
0.11;2.00;1;;;;;;;
0.25;5.00;1;;;;;;;
0.05;1.00;1;;;;;;;
0.17;2.00;1;;;;;;;
0.23;2.00;1;;;;;;;
0.23;2.00;1;;;;;;;
0.22;2.00;1;;;;;;;
0.24;1.00;1;;;;;;;
0.23;2.00;1;;;;;;;
0.23;2.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.24;1.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.24;1.00;1;;;;;;;
0.25;3.00;1;;;;;;;
0.25;2.00;1;;;;;;;
0.25;2.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.22;2.00;1;;;;;;;
0.16;2.00;1;;;;;;;
0.18;2.00;1;;;;;;;
0.27;2.00;1;;;;;;;
0.26;2.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.32;2.00;1;;;;;;;
0.16;3.00;1;;;;;;;
0.18;2.00;1;;;;;;;
0.28;3.00;1;;;;;;;
0.26;2.00;1;;;;;;;
0.24;2.00;1;;;;;;;
0.23;2.00;1;;;;;;;
0.20;2.00;1;;;;;;;
0.26;2.00;1;;;;;;;
0.26;2.00;1;;;;;;;
0.47;3.00;1;;;;;;;
0.36;2.00;1;;;;;;;
0.36;2.00;1;;;;;;;
0.24;3.00;1;;;;;;;
0.30;2.00;1;;;;;;;
0.35;2.00;1;;;;;;;
0.40;3.00;1;;;;;;;
0.36;3.00;1;;;;;;;
0.33;3.00;1;;;;;;;
0.48;2.00;1;;;;;;;
0.37;2.00;1;;;;;;;
0.32;2.00;1;;;;;;;
0.37;2.00;1;;;;;;;
0.27;2.00;1;;;;;;;
0.46;2.00;1;;;;;;;
0.53;2.00;1;;;;;;;
0.41;3.00;1;;;;;;;
0.55;3.00;1;;;;;;;
0.39;2.00;1;;;;;;;
0.50;2.00;1;;;;;;;
0.26;2.00;1;;;;;;;
0.32;1.00;1;;;;;;;
0.40;2.00;1;;;;;;;
0.43;3.00;1;;;;;;;
0.33;1.00;1;;;;;;;
0.44;2.00;1;;;;;;;
0.46;2.00;1;;;;;;;
0.39;3.00;1;;;;;;;
0.44;2.00;1;;;;;;;
0.32;1.00;1;;;;;;;
0.36;2.00;1;;;;;;;
0.14;0.70;1;;;;;;;
0.18;1.15;1;;;;;;;
0.04;0.35;1;;;;;;;
0.16;1.20;1;;;;;;;
0.06;0.75;1;;;;;;;
0.13;0.65;1;;;;;;;
0.12;0.80;1;;;;;;;
0.06;0.60;1;;;;;;;
0.05;0.70;1;;;;;;;
0.09;0.75;1;;;;;;;
0.14;1.00;1;;;;;;;
0.29;0.95;1;;;;;;;
0.09;0.80;1;;;;;;;
0.23;1.55;1;;;;;;;
0.08;0.40;1;;;;;;;
0.30;0.85;1;;;;;;;
0.16;1.20;1;;;;;;;
0.24;1.30;1;;;;;;;
0.13;0.85;1;;;;;;;
0.48;1.75;1;;;;;;;
0.13;0.80;1;;;;;;;
0.31;1.20;1;;;;;;;
0.16;0.90;1;;;;;;;
0.17;0.83;1;;;;;;;
0.29;1.30;1;;;;;;;
0.19;1.15;1;;;;;;;
0.28;1.00;1;;;;;;;
0.25;0.70;1;;;;;;;
0.53;1.10;1;;;;;;;
0.41;1.50;1;;;;;;;
0.42;1.15;1;;;;;;;
0.15;0.95;1;;;;;;;
0.26;1.20;1;;;;;;;
0.27;1.60;1;;;;;;;
0.20;1.50;1;;;;;;;
0.07;0.65;1;;;;;;;
0.32;1.50;1;;;;;;;
0.15;1.00;1;;;;;;;
0.22;0.80;1;;;;;;;
0.27;0.80;1;;;;;;;
0.25;0.75;1;;;;;;;
0.27;1.25;1;;;;;;;
0.32;1.10;1;;;;;;;
0.17;0.75;1;;;;;;;
0.12;1.00;1;;;;;;;
0.20;1.20;1;;;;;;;
0.24;1.45;1;;;;;;;
0.17;0.80;1;;;;;;;
0.15;1.48;1;;;;;;;
0.26;1.75;1;;;;;;;
0.27;1.50;1;;;;;;;
0.13;0.80;1;;;;;;;
0.14;0.75;1;;;;;;;
