Area (km2);Volume (km3);Attached;MTD;Arcitectural Structure;Equation;;;;;;;;;;;;
22;0.5;0;;;;;;;;;;;;;;;
22;0.5;0;;;;;;;;;;;;;;;
21.4;3;0;;;;;;;;;;;;;;;
21.2;0.57;0;;;;;;;;;;;;;;;
21;3.2;0;;;;;;;;;;;;;;;
21;1.7;0;;;;;;;;;;;;;;;
21;0.8;0;;;;;;;;;;;;;;;
18;0.36;0;;;;;;;;;;;;;;;
17;1.8;0;;;;;;;;;;;;;;;
16;0.8;0;;;;;;;;;;;;;;;
15;1.2;0;;;;;;;;;;;;;;;
15;1;0;;;;;;;;;;;;;;;
15;0.8;0;;;;;;;;;;;;;;;
15;0.72;0;;;;;;;;;;;;;;;
15;0.7;0;;;;;;;;;;;;;;;
15;0.27;0;;;;;;;;;;;;;;;
15;0.019;0;;;;;;;;;;;;;;;
14;0.9;0;;;;;;;;;;;;;;;
13;2.1;0;;;;;;;;;;;;;;;
13;0.7;0;;;;;;;;;;;;;;;
13;0.3;0;;;;;;;;;;;;;;;
12;0.2;0;;;;;;;;;;;;;;;
11.3;1;0;;;;;;;;;;;;;;;
11;0.7;0;;;;;;;;;;;;;;;
10.3;1;0;;;;;;;;;;;;;;;
10;0.2;0;;;;;;;;;;;;;;;
10;0.03;0;;;;;;;;;;;;;;;
9.8;0.24;0;;;;;;;;;;;;;;;
9.6;0.8;0;;;;;;;;;;;;;;;
9.1;0.9;0;;;;;;;;;;;;;;;
8;0.3;0;;;;;;;;;;;;;;;
7.6;0.23;0;;;;;;;;;;;;;;;
7;0.4;0;;;;;;;;;;;;;;;
7;0.21;0;;;;;;;;;;;;;;;
6.8;0.2;0;;;;;;;;;;;;;;;
6;0.18;0;;;;;;;;;;;;;;;
5.4;0.4;0;;;;;;;;;;;;;;;
5;0.3;0;;;;;;;;;;;;;;;
4.7;0.2;0;;;;;;;;;;;;;;;
4;0.6;0;;;;;;;;;;;;;;;
4;0.4;0;;;;;;;;;;;;;;;
4;0.1;0;;;;;;;;;;;;;;;
3.93;0.02;0;;;;;;;;;;;;;;;
3.5;0.07;0;;;;;;;;;;;;;;;
3;0.3;0;;;;;;;;;;;;;;;
3;0.1;0;;;;;;;;;;;;;;;
2.81;0.21;0;;;;;;;;;;;;;;;
1.8;0.04;0;;;;;;;;;;;;;;;
1.7;0.03;0;;;;;;;;;;;;;;;
1.5;0.04;0;;;;;;;;;;;;;;;
1.4;0.03;0;;;;;;;;;;;;;;;
1;0.02;0;;;;;;;;;;;;;;;
0.8;0.02;0;;;;;;;;;;;;;;;
0.7;0.02;0;;;;;;;;;;;;;;;
0.7;0.01;0;;;;;;;;;;;;;;;
0.7;0.01;0;;;;;;;;;;;;;;;
0.7;0.01;0;;;;;;;;;;;;;;;
0.6;0.0036;0;;;;;;;;;;;;;;;
0.5;0.01;0;;;;;;;;;;;;;;;
0.5;0.01;0;;;;;;;;;;;;;;;
0.3;0.01;0;;;;;;;;;;;;;;;
0.2;0.0063;0;;;;;;;;;;;;;;;
0.2;0.003;0;;;;;;;;;;;;;;;
0.06;0.0002;0;;;;;;;;;;;;;;;
432;10;0;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
